,id,chemicalSymbol,label
0,01,SO2,Dioxyde de soufre
1,02,NO,Monoxyde d'azote
2,03,NO2,Dioxyde d'azote
3,04,CO,Monoxyde de carbone
4,05,SH,Sulfure d Hydrogène
5,06,HFl,Fluorure d hydrogene
6,07,HCl,Chlorure d hydrogene
7,08,O3,Ozone
8,0N,C2H3Cl,Chlorure de vinyle
9,10,AF,Acidite forte
10,11,FN,Fumees noires
11,12,NOX,Oxydes d azote
12,14,S,Soufre particulaire
13,15,HCT,Hydrocarbures Totaux
14,16,HCM,Hydrocarbures Methaniques
15,17,CO2,Dioxyde de carbone
16,19,Pb,Plomb
17,1A,STAB,STABILITE BAM
18,1B,REF,MASSE REF BAM
19,20,HCNM,Hydrocarbures non methaniques
20,21,NH3,Ammoniac
21,22,PS,Poussieres en suspension
22,23,P.S,Poussieres
23,24,PM10,PM10
24,25,Alpha,Activite alpha artificiel
25,26,Beta, Activite beta artificiel
26,28,Radon,Activite radon
27,36,N2O,Oxydes nitreux
28,39,PM2.5,PM2.5
29,3Z,Rb in PM1,Rubidium in PM1
30,4D,Sb,Antimoine
31,5,H2S,Sulfure d'hydrogène
32,50,PH,pH
33,51,VV,Vitesse du vent
34,52,DV,Direction du vent
35,53,PA,Pression Atmospherique
36,54,TC,Temperature
37,55,HA,Humidite absolue
38,57,RS,Rayonnement Solaire Direct
39,58,HR,Humidite relative
40,59,tps soleil,Duree ensoleillement
41,5A,VISIBILITE,VISIBILITE
42,5B,NEBULOSITE,NEBULOSITE
43,60,Precipita,precipitation
44,61,UV,Composante U Anemometre
45,62,VVEW,Composant Est Ouest Anemometre
46,63,CVerticale,composante verticale
47,64,VOL.AIR ,VOLUME AIR PRELEVE
48,65,CVH,Comptage Vehicules
49,66,bruit,bruit
50,68,PM1,POUSSIERES PM1
51,69,Na,Sodium
52,70,BR,Bilan radiatif
53,74,ray_glob,Rayonnement global
54,80,As,Arsenic
55,82,Cd,Cadmium
56,83,Cr,Chrome
57,85,Hg in PM10,Mercure
58,86,Fe,Fer particulaire
59,87,Ni,Nickel
60,88,Zn,Zinc
61,90,Mn,Manganese particulaire
62,91,Al,Aluminium particulaire
63,92,Vn,Vanadium
64,93,Ba,Baryum particulaire
65,94,Se,Selenium
66,95,Te,Tellure
67,96,Si,Silicium
68,97,Hg_gaz,Mercure élémentaire gazeux
69,9E,PM4,PM4
70,9F,Ag in PM1,Argent in PM1
71,9G,Al in PM1,Aluminium in PM1
72,9H,NBR,Nombre hors CPC
73,9I,As in PM1,Arsenic in PM1
74,9P,Ba in PM1,Baryum in PM1
75,9Q,Bi in PM1,Bismuth in PM1
76,9R,Br in PM1,Brome in PM1
77,9S,Ca in PM1,Calcium in PM1
78,9T,Cd in PM1,Cadmium in PM1
79,9U,Cl in PM1,Chlore in PM1
80,9V,Co in PM1,Cobalt in PM1
81,9W,Cr in PM1,Chrome in PM
82,9X,Cu in PM1,Cuivre in PM1
83,9Y,Fe in PM1,Fer in PM1
84,9a,Hg in PM1,Mercure in PM1
85,9b,In in PM1,Indium in PM1
86,9c,K in PM1,Potassium in PM1
87,9d,Mn in PM1,Manganese in PM1
88,9e,Ni in PM1,Nickel in PM1
89,9f,P in PM1,Phosphore in PM1
90,9g,Pb in PM1,Plomb in PM1
91,9h,S in PM1,Souffre in PM1
92,9i,Sb in PM1,Antimoine in PM1
93,9p,Se in PM1,Selenium in PM1
94,9q,Si in PM1,Silicium in PM1
95,9r,Sn in PM1,Etain in PM1
96,9s,Ti in PM1,Titane in PM1
97,9t,Tl in PM1,Thallium in PM1
98,9u,V in PM1,Vanadium in PM1
99,9v,Zn in PM1,Zinc in PM1
100,9w,Ga in PM1,Gallium in PM1
101,9x,Ge in PM1,Germanium in PM1
102,9y,Y in PM1,Yttrium in PM1
103,A0,Zr in PM1,Zirconium in PM1
104,A8,Nb in PM1,Niobium in PM1
105,A9,Mo in PM1,Molybdene in PM1
106,AP,Pd in PM1,Palladium in PM1
107,AQ,Pt in PM1,Platine in PM1
108,AR,Au in PM1,Or in PM1
109,B2,Ca,Calcium
110,BC,BC,Battery Charge
111,CT,COT,Carbonne Organique
112,DE,DELTA,DELTA
113,DR,Droplet,Droplet size
114,E1,PM10EC,Ecart calcule PM10
115,E2,PM2.5EC,Ecart calcule PM2.5
116,F1,PM10FV,Fraction volatile PM10
117,F2,PM2.5FV,Fraction volatile PM2.5
118,G1,eBC370,Black Carbon 370 nm
119,G2,eBC470,Black Carbon 470 nm
120,G3,eBC525,Black Carbon 525 nm
121,G4,eBC590,Black Carbon 590 nm
122,G5,eBC660,Black Carbon 660 nm
123,G6,eBC880,Black Carbon 880 nm
124,G7,eBC940,Black Carbon 940 nm
125,G8,BCwb,Contribution Comb. Biomasse
126,G9,k6,Coef de Compensation a 880 nm
127,GA,eqBCWB,Conc eqBC issu de wb (AE33)
128,GB,eqBCFF,Conc eqBC issu de FF (AE33)
129,H3,C2HCl3,Trichloroethène
130,H4,C2Cl4,Tetrachloroethène
131,H8,C2H2Cl2,"1,2-Dichloroéthylène"
132,H9,C2H4Cl2,"1,2-dichloroethane"
133,I1,Org,Conc Matière Organique PM1
134,I2,SO4,Conc Sulfate PM1
135,I3,NO3,Conc Nitrates PM1
136,I4,NH4,Conc Ammonium PM1
137,I5,Chl,Conc Chlore PM1
138,I6,CE,Efficacité collect MiddleBrook
139,I7,Levo,Levoglucosan ACSM
140,I8,mz60,Masse 60 PM1
141,I9,mz43,Masse 43 PM1
142,IA,mz44,Masse 44 PM1
143,IB,mz55,Masse 55 PM1
144,IC,mz57,Masse 57 PM1
145,MT,MT,Mesure Technique
146,N1,PM10FNV,Fraction non volatile PM10
147,N2,PM2.5FNV,Fraction non volatile PM2.5
148,O2,O2,Oxygene
149,O3,C6H14_23d,2-3-dimethylbutane
150,O7,C7H16,2.4-diméthylpentane
151,OA,C6H12_ch,Cyclohexane
152,OC,23DME-C6H7,2-3-DIME-pentane
153,OO,ST,Soufre Total
154,Oi,C12H26,n-dodecane
155,P2,BaA_g,benzo(a)anthracene pha gazeuze
156,P6,C20H12_bap,Benzo(a)Pyrène
157,P7,C20H12_bep,benzo(e)pyrene particulaire
158,P8,C18H12_baa,Benzo(a)Anthracène
159,P9,C22H14_dba,"Dibenzo(a,h)Anthracène"
160,PA,C22H12_bp,"Benzo(g,h,i)Pérylène"
161,PD,C20H12_bjf,Benzo(j)Fluoranthène
162,PR,PREVI,Prévision
163,QA,C10H8,Naphtalène
164,QB,2ME-C11H10,2-ME-Naphtalène
165,QC,C12H10,Acenaphtène
166,QD,C13H10,Fluorène
167,QE,C14H10_phe,Phénanthrène
168,QF,C14H10_an,Anthracène
169,QG,C16H10,Fluoranthène phase gazeuse
170,QH,C16H10,Pyrène phase gazeuse
171,QK,C20H12_bbf,Benzo(b)fluoranthène ph gazeus
172,QR,PHE,Phénanthrène
173,QS,ANT,Anthracène
174,QT,FL,Fluoranthène
175,QU,PY,Pyrène
176,QW,C18H12_chr,Chrysène
177,QX,C20H12_bbf,Benzo(b)Fluoranthène
178,QY,C20H12_bkf,Benzo(k)Fluoranthène
179,QZ,C22H12_ip,"Indeno(1,2,3,c,d)Pyrène"
180,Qa,1ME-C11H10,1-ME-Naphtalène
181,Qe,C12H8,Acenaphthylène
182,R2,C8H8,Styrène
183,R4,C6H4Cl2_12,"1,4-Dichlorobenzene"
184,S0,State,Etat
185,S6,O3-NO2,O3-NO2
186,S7,H2S-CH4S,H2S-CH4S
187,SA,%,Disponibilité
188,SG,Gas Pump,Gas pump set point
189,SN,Number,Nombre
190,SS,Stop Time,Temps d arrêt
191,ST,Time,Temps
192,SV,TVGN,TGVN
193,SW,Work Time,Temps de fonctionnement
194,T1,NBR_CPC,Nombre CPC
195,T2,T2S,T2S
196,T3,Nb PM 10nm,Nb PM entre 10nm et 1µm
197,Ui,Uin,Uin 6488
198,Uo,Uout,Uout 6487
199,Ut,C5H10_cp,cyclopentane
200,V0,C4H6_13b,1-3 Butadiene
201,V1,C4H8_1b,1-butène
202,V2,C4H8_t2b,trans-2-butène
203,V3,C2H2,acétylène
204,V4,C6H6,Benzene
205,V5,C4H10_ib,isobutane
206,V6,C4H10_nb,n-butane
207,V7,C4H8_c2b,cis-2-butène
208,V8,C2H6,éthane
209,V9,C2H4,éthylène
210,VA,C8H10,Ethylbenzene
211,VB,HCHO,FORMALDEHYDE
212,VC,C7H16_nh,n-heptane
213,VD,C6H14n,n-hexane
214,VE,C6H12_1h,1-Hexene
215,VF,C5H8,Isoprene
216,VG,C8H18_tmp,"2,2,4-Trimethylpentane"
217,VH,C8H18_no,n-Octane
218,VI,C5H12_ip,isopentane
219,VK,C5H12_np,n-pentane
220,VL,C5H10_1p,1 pentène
221,VN,C3H8,Propane
222,VP,C3H6,Propène
223,VQ,C7H8,Toluene
224,VR,C9H12_123t,"1,2,3-Trimethylbenzene"
225,VS,C9H12_124t,"1,2,4-Trimethylbenzene"
226,VT,C9H12_135t,"1,3,5-Trimethylbenzene"
227,VU,C8H10_mp,M-P-xylene
228,VV,C8H10_ox,O-xylene
229,VX,C9H20_nn,n-Nonane
230,Vd,C9H12_npb,n-Propylbenzene
231,W6,C7H14,Methylcyclohexane
232,W7,C6H12_mcp,methylcyclopentane
233,WB,C6H14_22d,"2,2-diméthylbutane"
234,WC,C6H14_2mp,2-ME-Pentane
235,WD,3-ME_C6H14,3-ME-pentane
236,WH,C5H10_t2p,trans-2-pentène
237,WI,C5H10_c2p,cis-2-pentène
238,Z4,charge fil,charge filtre poussieres
239,ZC,DEBIT,DEBIT ANALYSEUR
240,ZD,MT ACSM,Mesure Technique ACSM
241,Za,Ch1 3031,20 à 30 nm 3031
242,Zb,Ch2 3031,30 à 50 nm 3031
243,Zc,Ch3 3031,50 à 70 nm 3031
244,Zd,Ch4 3031,70 à 100 nm 3031
245,Ze,Ch5 3031,100 à 200 nm 3031
246,Zf,Ch6 3031,200 à 1000 nm 3031
247,vl,varlim,valeur limite variable
